juv,mum,sex,start,end,mum_juv_year,mj.gg,mj.gm,mj.rc
pam,park,F,2013-03-08,2014-03-08,1,0.01312674843985367,0.01312674843985367,0.15773617387561867
pam,park,F,2014-03-08,2015-03-08,2,0.008576329331046312,0.008331291350159274,0.018132810585640775
pam,park,F,2015-03-08,2015-08-01,3,0,0,0
peke,pans,M,2010-12-30,2011-12-30,1,0.01904367625750362,0.01904367625750362,0.2796522459118195
peke,pans,M,2011-12-30,2012-12-29,2,0.04258943781942078,0.039182282793867124,0.046422487223168656
peke,pans,M,2012-12-29,2013-12-29,3,0.0272879932829555,0.023719563392107474,0.03799328295549958
peke,pans,M,2013-12-29,2014-12-29,4,0.0231087326684505,0.018730235952323034,0.01678423741182194
peke,pans,M,2014-12-29,2015-08-01,5,0.016115702479338842,0.011570247933884297,0.005785123966942148
petr,park,F,2010-04-03,2011-04-03,1,0.013469827586206896,0.01329022988505747,0.2101293103448276
petr,park,F,2011-04-03,2012-04-02,2,0.014994720168954593,0.013305174234424498,0.02133051742344245
petr,park,F,2012-04-02,2013-04-02,3,0.021453863778379503,0.01770464486565299,0.02103728389918767
petr,park,F,2013-04-02,2014-04-02,4,0.0075333620318553595,0.004304778303917348,0.006887645286267757
petr,park,F,2014-04-02,2015-04-02,5,0.004899559039686428,0.002204801567858893,0.002204801567858893
petr,park,F,2015-04-02,2015-08-01,6,0.010666666666666666,0.004,0.002
pira,pinc,M,2011-01-27,2012-01-27,1,0.022534628902212115,0.022534628902212115,0.2586313830886913
pira,pinc,M,2012-01-27,2013-01-26,2,0.01276867418599702,0.01276867418599702,0.022132368589061504
pira,pinc,M,2013-01-26,2014-01-26,3,0.014029296472044563,0.012585104188157623,0.016092428306168763
pira,pinc,M,2014-01-26,2015-01-26,4,0.01332687181972377,0.01332687181972377,0.012842258299006542
pira,pinc,M,2015-01-26,2015-08-01,5,0.0060185185185185185,0.0060185185185185185,0
renl,robe,M,2013-04-27,2014-04-27,1,0.022537025112685124,0.022537025112685124,0.24103884953852758
renl,robe,M,2014-04-27,2015-04-27,2,0.022019208245490748,0.022019208245490748,0.03396579995315062
renl,robe,M,2015-04-27,2015-08-01,3,0.00909090909090909,0.00909090909090909,0.0027272727272727275
ropa,robe,M,2009-12-20,2010-12-20,1,0.017837480731116493,0.01761726491962123,0.19621228804228144
